IMSI|Location|Affinity|Service Usage Profile
123456700000570|Blanchardstown|Home|High SMS - Low Data
123456700000571|Dundrum|Home|Big Data
123456700000572|Dundrum|Home|Average User
123456700000573|Blanchardstown|Work|High Voice
123456700000574|Liffey Valley|Home|Average User
123456700000575|Swords Pavillion|Home|Big Data
123456700000576|Liffey Valley|Work|Big Data
123456700000577|Swords Pavillion|Home|Big Data
123456700000578|Swords Pavillion|Home|High Voice
123456700000579|Blanchardstown|Home|High Voice & SMS
123456700000580|Swords Pavillion|Leisure|Average User
123456700000581|Liffey Valley|Leisure|Low Usage Overall
123456700000582|Blanchardstown|Home|Low Usage Overall
123456700000583|Blanchardstown|Work|High Voice
123456700000584|Swords Pavillion|Work|Average User
123456700000585|Dundrum|Leisure|Low Usage Overall
123456700000586|Liffey Valley|Home|Big Data
123456700000587|Dundrum|Home|Average User
123456700000588|Dundrum|Work|Average User
123456700000589|Swords Pavillion|Home|Average User
123456700000590|Swords Pavillion|Work|Big Data
123456700000591|Swords Pavillion|Leisure|High Voice
123456700000592|Liffey Valley|Leisure|High SMS - Low Data
123456700000593|Liffey Valley|Leisure|Average User
123456700000594|Blanchardstown|Home|Big Data
123456700000595|Blanchardstown|Home|Low Usage Overall
123456700000596|Blanchardstown|Home|High SMS - Low Data
123456700000597|Blanchardstown|Home|Big Data
123456700000598|Swords Pavillion|Work|Average User
123456700000599|Blanchardstown|Work|High SMS - Low Data
123456700000600|Liffey Valley|Work|Big Data
123456700000601|Dundrum|Leisure|High SMS - Low Data
123456700000602|Liffey Valley|Work|Average User
123456700000603|Dundrum|Home|Low Usage Overall
123456700000604|Dundrum|Home|High Voice & SMS
123456700000605|Blanchardstown|Home|Low Usage Overall
123456700000606|Swords Pavillion|Home|Big Data
123456700000607|Liffey Valley|Work|Big Data
123456700000608|Blanchardstown|Home|High Voice & SMS
123456700000609|Liffey Valley|Work|Average User
123456700000610|Liffey Valley|Home|High SMS - Low Data
123456700000611|Dundrum|Leisure|Big Data
123456700000612|Blanchardstown|Home|High Voice
123456700000613|Liffey Valley|Leisure|Average User
123456700000614|Dundrum|Leisure|High SMS - Low Data
123456700000615|Dundrum|Work|Low Usage Overall
123456700000616|Swords Pavillion|Work|Big Data
123456700000617|Dundrum|Leisure|Average User
123456700000618|Liffey Valley|Work|High SMS - Low Data
123456700000619|Dundrum|Home|Low Usage Overall
123456700000620|Liffey Valley|Work|High SMS - Low Data
123456700000621|Liffey Valley|Work|High SMS - Low Data
123456700000622|Liffey Valley|Home|High SMS - Low Data
123456700000623|Swords Pavillion|Leisure|Big Data
123456700000624|Blanchardstown|Work|High Voice & SMS
123456700000625|Swords Pavillion|Home|High Voice
123456700000626|Blanchardstown|Home|Low Usage Overall
123456700000627|Dundrum|Home|Big Data
123456700000628|Swords Pavillion|Home|Low Usage Overall
123456700000629|Dundrum|Home|Low Usage Overall
123456700000630|Swords Pavillion|Leisure|High Voice
123456700000631|Swords Pavillion|Home|Average User
123456700000632|Dundrum|Work|Big Data
123456700000633|Blanchardstown|Leisure|Big Data
123456700000634|Swords Pavillion|Home|Big Data
123456700000635|Liffey Valley|Home|High Voice
123456700000636|Dundrum|Work|Low Usage Overall
123456700000637|Swords Pavillion|Home|High Voice
123456700000638|Liffey Valley|Leisure|High SMS - Low Data
123456700000639|Blanchardstown|Leisure|Low Usage Overall
123456700000640|Blanchardstown|Home|High SMS - Low Data
123456700000641|Dundrum|Leisure|High SMS - Low Data
123456700000642|Blanchardstown|Home|High Voice
123456700000643|Dundrum|Work|Big Data
123456700000644|Swords Pavillion|Leisure|Big Data
123456700000645|Swords Pavillion|Leisure|High Voice & SMS
123456700000646|Dundrum|Leisure|High Voice
123456700000647|Dundrum|Work|Low Usage Overall
123456700000648|Blanchardstown|Leisure|Big Data
123456700000649|Dundrum|Work|High SMS - Low Data
123456700000650|Dundrum|Home|Low Usage Overall
123456700000651|Blanchardstown|Leisure|High SMS - Low Data
123456700000652|Blanchardstown|Work|Big Data
123456700000653|Dundrum|Home|Low Usage Overall
123456700000654|Liffey Valley|Leisure|High Voice
123456700000655|Liffey Valley|Leisure|Low Usage Overall
123456700000656|Swords Pavillion|Work|High Voice
123456700000657|Liffey Valley|Leisure|Average User
123456700000658|Blanchardstown|Home|Low Usage Overall
123456700000659|Swords Pavillion|Leisure|High SMS - Low Data
123456700000660|Swords Pavillion|Home|Average User
123456700000661|Liffey Valley|Home|High SMS - Low Data
123456700000662|Blanchardstown|Home|High Voice
123456700000663|Liffey Valley|Work|Big Data
123456700000664|Blanchardstown|Home|High Voice
123456700000665|Swords Pavillion|Home|High SMS - Low Data
123456700000666|Liffey Valley|Home|High SMS - Low Data
123456700000667|Swords Pavillion|Work|Average User
123456700000668|Dundrum|Leisure|Low Usage Overall
123456700000669|Dundrum|Leisure|High Voice
123456700000670|Blanchardstown|Work|High Voice & SMS
123456700000671|Liffey Valley|Work|Low Usage Overall
123456700000672|Dundrum|Home|High Voice
123456700000673|Blanchardstown|Home|Low Usage Overall
123456700000674|Blanchardstown|Leisure|Low Usage Overall
123456700000675|Swords Pavillion|Work|Average User
123456700000676|Liffey Valley|Leisure|Big Data
123456700000677|Swords Pavillion|Leisure|High Voice & SMS
123456700000678|Liffey Valley|Home|Average User
123456700000679|Blanchardstown|Home|Average User
123456700000680|Liffey Valley|Home|High SMS - Low Data
123456700000681|Dundrum|Work|Low Usage Overall
123456700000682|Dundrum|Work|Low Usage Overall
123456700000683|Blanchardstown|Leisure|High Voice
123456700000684|Liffey Valley|Home|High Voice
123456700000685|Dundrum|Leisure|Low Usage Overall
123456700000686|Dundrum|Work|Average User
123456700000687|Liffey Valley|Home|Low Usage Overall
123456700000688|Dundrum|Leisure|High Voice & SMS
123456700000689|Liffey Valley|Home|Average User
123456700000690|Swords Pavillion|Home|High SMS - Low Data
123456700000691|Dundrum|Work|High Voice
123456700000692|Swords Pavillion|Home|Low Usage Overall
123456700000693|Swords Pavillion|Work|Average User
123456700000694|Liffey Valley|Home|Low Usage Overall
123456700000695|Liffey Valley|Work|High Voice & SMS
123456700000696|Blanchardstown|Work|Low Usage Overall
123456700000697|Swords Pavillion|Home|High Voice
123456700000698|Dundrum|Home|High Voice
123456700000699|Liffey Valley|Home|Average User
123456700000700|Swords Pavillion|Leisure|Average User
123456700000701|Swords Pavillion|Home|Big Data
123456700000702|Dundrum|Leisure|Average User
123456700000703|Liffey Valley|Leisure|Low Usage Overall
123456700000704|Blanchardstown|Work|Big Data
123456700000705|Swords Pavillion|Leisure|Low Usage Overall
123456700000706|Dundrum|Work|Big Data
123456700000707|Blanchardstown|Leisure|Average User
123456700000708|Liffey Valley|Leisure|High Voice & SMS
123456700000709|Swords Pavillion|Leisure|High SMS - Low Data
123456700000710|Dundrum|Work|Average User
123456700000711|Blanchardstown|Work|High Voice
123456700000712|Blanchardstown|Work|High SMS - Low Data
123456700000713|Swords Pavillion|Work|Big Data
123456700000714|Swords Pavillion|Work|High Voice & SMS
123456700000715|Dundrum|Work|High Voice & SMS
123456700000716|Swords Pavillion|Work|Low Usage Overall
123456700000717|Swords Pavillion|Home|High Voice
123456700000718|Swords Pavillion|Leisure|Average User
123456700000719|Dundrum|Leisure|High SMS - Low Data
123456700000720|Blanchardstown|Leisure|High SMS - Low Data
123456700000721|Liffey Valley|Work|Low Usage Overall
123456700000722|Liffey Valley|Home|Low Usage Overall
123456700000723|Dundrum|Leisure|Average User
123456700000724|Dundrum|Home|High Voice & SMS
123456700000725|Blanchardstown|Leisure|High Voice
123456700000726|Swords Pavillion|Leisure|Low Usage Overall
123456700000727|Liffey Valley|Work|Low Usage Overall
123456700000728|Swords Pavillion|Work|Big Data
123456700000729|Liffey Valley|Work|High Voice & SMS
123456700000730|Liffey Valley|Home|High Voice & SMS
123456700000731|Blanchardstown|Home|High SMS - Low Data
123456700000732|Blanchardstown|Home|Average User
123456700000733|Dundrum|Work|High SMS - Low Data
123456700000734|Swords Pavillion|Leisure|High SMS - Low Data
123456700000735|Swords Pavillion|Home|Big Data
123456700000736|Dundrum|Work|Low Usage Overall
123456700000737|Swords Pavillion|Leisure|Low Usage Overall
123456700000738|Liffey Valley|Work|Average User
123456700000739|Liffey Valley|Work|High Voice
123456700000740|Liffey Valley|Leisure|Average User
123456700000741|Swords Pavillion|Work|Big Data
123456700000742|Swords Pavillion|Leisure|Big Data
123456700000743|Swords Pavillion|Home|Big Data
123456700000744|Dundrum|Home|High Voice & SMS
123456700000745|Blanchardstown|Work|High Voice
123456700000746|Swords Pavillion|Leisure|Low Usage Overall
123456700000747|Liffey Valley|Work|Big Data
123456700000748|Swords Pavillion|Leisure|High Voice
123456700000749|Dundrum|Leisure|High SMS - Low Data
123456700000750|Swords Pavillion|Leisure|High Voice & SMS
123456700000751|Blanchardstown|Leisure|Average User
123456700000752|Liffey Valley|Home|High Voice
123456700000753|Swords Pavillion|Home|High SMS - Low Data
123456700000754|Blanchardstown|Leisure|High Voice
123456700000755|Blanchardstown|Leisure|High Voice & SMS
123456700000756|Liffey Valley|Home|High Voice
123456700000757|Dundrum|Home|Low Usage Overall
123456700000758|Dundrum|Home|Big Data
123456700000759|Dundrum|Home|Low Usage Overall
123456700000760|Dundrum|Work|High SMS - Low Data
123456700000761|Dundrum|Work|Big Data
123456700000762|Blanchardstown|Leisure|Big Data
123456700000763|Liffey Valley|Leisure|High Voice & SMS
123456700000764|Swords Pavillion|Leisure|Low Usage Overall
123456700000765|Liffey Valley|Leisure|High Voice & SMS
123456700000766|Liffey Valley|Leisure|High SMS - Low Data
123456700000767|Blanchardstown|Home|High Voice
123456700000768|Swords Pavillion|Leisure|High Voice
123456700000769|Dundrum|Work|High SMS - Low Data
123456700000770|Blanchardstown|Leisure|Low Usage Overall
123456700000771|Liffey Valley|Work|Average User
123456700000772|Swords Pavillion|Leisure|Average User
123456700000773|Swords Pavillion|Home|High SMS - Low Data
123456700000774|Blanchardstown|Home|Average User
123456700000775|Dundrum|Leisure|High Voice
123456700000776|Swords Pavillion|Leisure|High Voice & SMS
123456700000777|Blanchardstown|Home|Average User
123456700000778|Dundrum|Home|High Voice
123456700000779|Liffey Valley|Home|Low Usage Overall
123456700000780|Blanchardstown|Work|High Voice & SMS
123456700000781|Blanchardstown|Home|Average User
123456700000782|Liffey Valley|Work|Big Data
123456700000783|Swords Pavillion|Work|High Voice & SMS
123456700000784|Liffey Valley|Work|Big Data
123456700000785|Dundrum|Home|Big Data
123456700000786|Blanchardstown|Leisure|Big Data
123456700000787|Liffey Valley|Home|High Voice & SMS
123456700000788|Dundrum|Leisure|High Voice & SMS
123456700000789|Blanchardstown|Work|Average User
123456700000790|Swords Pavillion|Leisure|Big Data
123456700000791|Liffey Valley|Work|Low Usage Overall
123456700000792|Blanchardstown|Home|Low Usage Overall
123456700000793|Blanchardstown|Leisure|High Voice
123456700000794|Swords Pavillion|Home|High Voice
123456700000795|Blanchardstown|Leisure|High Voice & SMS
123456700000796|Dundrum|Home|Big Data
123456700000797|Liffey Valley|Work|Big Data
123456700000798|Swords Pavillion|Home|High SMS - Low Data
123456700000799|Liffey Valley|Work|High Voice & SMS
123456700000800|Dundrum|Home|Big Data
123456700000801|Swords Pavillion|Leisure|High SMS - Low Data
123456700000802|Dundrum|Work|Big Data
123456700000803|Blanchardstown|Work|High Voice & SMS
123456700000804|Dundrum|Leisure|Big Data
123456700000805|Blanchardstown|Leisure|Big Data
123456700000806|Swords Pavillion|Leisure|High Voice
123456700000807|Liffey Valley|Leisure|High Voice & SMS
123456700000808|Swords Pavillion|Work|Big Data
123456700000809|Liffey Valley|Home|Average User
123456700000810|Liffey Valley|Work|High Voice & SMS
123456700000811|Dundrum|Leisure|High SMS - Low Data
123456700000812|Blanchardstown|Work|Average User
123456700000813|Liffey Valley|Work|High Voice
123456700000814|Liffey Valley|Work|Big Data
123456700000815|Liffey Valley|Home|Average User
123456700000816|Swords Pavillion|Leisure|Low Usage Overall
123456700000817|Blanchardstown|Home|High SMS - Low Data
123456700000818|Swords Pavillion|Work|Big Data
123456700000819|Blanchardstown|Home|Low Usage Overall
123456700000820|Dundrum|Work|Average User
123456700000821|Liffey Valley|Leisure|Average User
123456700000822|Liffey Valley|Work|High SMS - Low Data
123456700000823|Swords Pavillion|Leisure|Low Usage Overall
123456700000824|Blanchardstown|Leisure|Average User
123456700000825|Dundrum|Leisure|Average User
123456700000826|Liffey Valley|Work|Big Data
123456700000827|Dundrum|Leisure|Low Usage Overall
123456700000828|Blanchardstown|Leisure|High Voice & SMS
123456700000829|Liffey Valley|Leisure|High Voice
123456700000830|Liffey Valley|Work|Average User
123456700000831|Swords Pavillion|Work|High SMS - Low Data
123456700000832|Blanchardstown|Home|Low Usage Overall
123456700000833|Swords Pavillion|Home|High Voice
123456700000834|Blanchardstown|Work|High Voice & SMS
123456700000835|Swords Pavillion|Home|Average User
123456700000836|Swords Pavillion|Work|Average User
123456700000837|Swords Pavillion|Work|High Voice & SMS
123456700000838|Dundrum|Leisure|High Voice & SMS
123456700000839|Swords Pavillion|Work|Low Usage Overall
123456700000840|Liffey Valley|Work|High Voice & SMS
123456700000841|Swords Pavillion|Home|High SMS - Low Data
123456700000842|Liffey Valley|Leisure|Average User
123456700000843|Swords Pavillion|Home|Big Data
123456700000844|Swords Pavillion|Leisure|High Voice
123456700000845|Swords Pavillion|Home|High Voice
123456700000846|Dundrum|Home|Big Data
123456700000847|Swords Pavillion|Home|Average User
123456700000848|Swords Pavillion|Home|Low Usage Overall
123456700000849|Blanchardstown|Work|High SMS - Low Data
123456700000850|Blanchardstown|Work|High Voice & SMS
123456700000851|Blanchardstown|Leisure|High SMS - Low Data
123456700000852|Dundrum|Work|Big Data
123456700000853|Dundrum|Leisure|High Voice
123456700000854|Dundrum|Work|High Voice
123456700000855|Dundrum|Work|Low Usage Overall
123456700000856|Liffey Valley|Work|High SMS - Low Data
123456700000857|Dundrum|Work|High SMS - Low Data
123456700000858|Dundrum|Leisure|High SMS - Low Data
123456700000859|Dundrum|Leisure|High Voice & SMS
123456700000860|Dundrum|Work|Low Usage Overall
123456700000861|Swords Pavillion|Work|High Voice
123456700000862|Swords Pavillion|Work|Average User
123456700000863|Dundrum|Home|Average User
123456700000864|Liffey Valley|Leisure|High SMS - Low Data
123456700000865|Liffey Valley|Work|Average User
123456700000866|Swords Pavillion|Home|High Voice & SMS
123456700000867|Liffey Valley|Work|High SMS - Low Data
123456700000868|Dundrum|Leisure|Low Usage Overall
123456700000869|Swords Pavillion|Home|High Voice & SMS
123456700000870|Dundrum|Work|High Voice & SMS
123456700000871|Liffey Valley|Home|Low Usage Overall
123456700000872|Blanchardstown|Home|High SMS - Low Data
123456700000873|Dundrum|Home|Average User
123456700000874|Blanchardstown|Leisure|High Voice & SMS
123456700000875|Liffey Valley|Leisure|Low Usage Overall
123456700000876|Liffey Valley|Work|Big Data
123456700000877|Swords Pavillion|Work|Average User
123456700000878|Swords Pavillion|Leisure|Big Data
123456700000879|Swords Pavillion|Home|High Voice
123456700000880|Blanchardstown|Work|Average User
123456700000881|Liffey Valley|Home|High Voice & SMS
123456700000882|Dundrum|Work|High Voice & SMS
123456700000883|Blanchardstown|Home|High SMS - Low Data
123456700000884|Liffey Valley|Home|Average User
123456700000885|Liffey Valley|Work|Big Data
123456700000886|Dundrum|Leisure|Big Data
123456700000887|Dundrum|Work|High SMS - Low Data
123456700000888|Dundrum|Home|Low Usage Overall
123456700000889|Liffey Valley|Leisure|Average User
123456700000890|Blanchardstown|Work|High SMS - Low Data
123456700000891|Blanchardstown|Leisure|Big Data
123456700000892|Dundrum|Home|Average User
123456700000893|Dundrum|Leisure|High Voice & SMS
123456700000894|Swords Pavillion|Work|High SMS - Low Data
123456700000895|Swords Pavillion|Leisure|Low Usage Overall
123456700000896|Blanchardstown|Work|Big Data
123456700000897|Swords Pavillion|Leisure|High Voice
123456700000898|Dundrum|Home|Average User
123456700000899|Blanchardstown|Work|High Voice & SMS
123456700000900|Swords Pavillion|Work|Low Usage Overall
123456700000901|Dundrum|Home|High Voice & SMS
123456700000902|Blanchardstown|Work|Average User
123456700000903|Dundrum|Leisure|Average User
123456700000904|Dundrum|Leisure|Average User
123456700000905|Swords Pavillion|Leisure|Big Data
123456700000906|Swords Pavillion|Home|Big Data
123456700000907|Liffey Valley|Leisure|Big Data
123456700000908|Dundrum|Home|High Voice & SMS
123456700000909|Liffey Valley|Leisure|High SMS - Low Data
123456700000910|Blanchardstown|Home|Big Data
123456700000911|Liffey Valley|Home|Average User
123456700000912|Liffey Valley|Home|Average User
123456700000913|Dundrum|Leisure|High Voice & SMS
123456700000914|Blanchardstown|Work|Average User
123456700000915|Swords Pavillion|Work|Low Usage Overall
123456700000916|Swords Pavillion|Work|High SMS - Low Data
123456700000917|Swords Pavillion|Leisure|High Voice
123456700000918|Dundrum|Work|Average User
123456700000919|Swords Pavillion|Leisure|High SMS - Low Data
123456700000920|Dundrum|Home|Low Usage Overall
123456700000921|Blanchardstown|Leisure|Low Usage Overall
123456700000922|Swords Pavillion|Leisure|High Voice & SMS
123456700000923|Dundrum|Work|Big Data
123456700000924|Blanchardstown|Leisure|Big Data
123456700000925|Liffey Valley|Work|High Voice & SMS
123456700000926|Swords Pavillion|Work|High Voice
123456700000927|Dundrum|Home|Average User
123456700000928|Liffey Valley|Leisure|High SMS - Low Data
123456700000929|Dundrum|Home|Big Data
123456700000930|Blanchardstown|Work|High SMS - Low Data
123456700000931|Dundrum|Work|High SMS - Low Data
123456700000932|Liffey Valley|Work|Big Data
123456700000933|Blanchardstown|Leisure|Average User
123456700000934|Blanchardstown|Home|Big Data
123456700000935|Liffey Valley|Home|Average User
123456700000936|Liffey Valley|Work|Big Data
123456700000937|Dundrum|Home|Low Usage Overall
123456700000938|Liffey Valley|Home|Big Data
123456700000939|Swords Pavillion|Work|High Voice
123456700000940|Swords Pavillion|Home|Big Data
123456700000941|Swords Pavillion|Work|High SMS - Low Data
123456700000942|Liffey Valley|Leisure|Low Usage Overall
123456700000943|Liffey Valley|Leisure|Big Data
123456700000944|Dundrum|Leisure|High SMS - Low Data
123456700000945|Swords Pavillion|Home|High Voice & SMS
123456700000946|Liffey Valley|Leisure|High SMS - Low Data
123456700000947|Dundrum|Home|Average User
123456700000948|Dundrum|Work|High SMS - Low Data
123456700000949|Blanchardstown|Home|Big Data
123456700000950|Dundrum|Work|Low Usage Overall
123456700000951|Dundrum|Leisure|High Voice
123456700000952|Swords Pavillion|Work|Big Data
123456700000953|Liffey Valley|Leisure|High SMS - Low Data
123456700000954|Swords Pavillion|Leisure|Big Data
123456700000955|Liffey Valley|Leisure|Low Usage Overall
123456700000956|Blanchardstown|Home|Average User
123456700000957|Dundrum|Home|High Voice & SMS
123456700000958|Liffey Valley|Leisure|Low Usage Overall
123456700000959|Swords Pavillion|Work|High Voice
123456700000960|Dundrum|Work|High Voice & SMS
123456700000961|Dundrum|Home|Average User
123456700000962|Liffey Valley|Leisure|High Voice & SMS
123456700000963|Blanchardstown|Home|Low Usage Overall
123456700000964|Dundrum|Home|High Voice
123456700000965|Blanchardstown|Leisure|High SMS - Low Data
123456700000966|Liffey Valley|Work|Average User
123456700000967|Swords Pavillion|Leisure|High Voice
123456700000968|Swords Pavillion|Home|High Voice & SMS
123456700000969|Blanchardstown|Home|Low Usage Overall
123456700000970|Dundrum|Leisure|Average User
123456700000971|Liffey Valley|Work|Low Usage Overall
123456700000972|Liffey Valley|Work|Big Data
123456700000973|Liffey Valley|Work|High SMS - Low Data
123456700000974|Swords Pavillion|Leisure|Low Usage Overall
123456700000975|Blanchardstown|Home|High Voice & SMS
123456700000976|Swords Pavillion|Leisure|Big Data
123456700000977|Swords Pavillion|Work|Big Data
123456700000978|Swords Pavillion|Leisure|Low Usage Overall
123456700000979|Blanchardstown|Leisure|High Voice
123456700000980|Dundrum|Work|Low Usage Overall
123456700000981|Liffey Valley|Work|Average User
123456700000982|Blanchardstown|Leisure|Low Usage Overall
123456700000983|Dundrum|Leisure|High SMS - Low Data
123456700000984|Dundrum|Leisure|Average User
123456700000985|Swords Pavillion|Work|Big Data
123456700000986|Blanchardstown|Work|Low Usage Overall
123456700000987|Swords Pavillion|Home|Big Data
123456700000988|Dundrum|Work|High Voice & SMS
123456700000989|Blanchardstown|Home|Average User
123456700000990|Dundrum|Leisure|Average User
123456700000991|Dundrum|Home|High Voice
123456700000992|Dundrum|Leisure|High Voice
123456700000993|Blanchardstown|Leisure|Low Usage Overall
123456700000994|Dundrum|Work|Average User
123456700000995|Swords Pavillion|Home|High Voice & SMS
123456700000996|Liffey Valley|Home|High Voice
123456700000997|Liffey Valley|Work|High Voice
123456700000998|Swords Pavillion|Work|Big Data
123456700000999|Liffey Valley|Home|High Voice
