DATE|IMSI|PRIMARY INTEREST|SECONDARY INTEREST|WEIGHTING
FEBRUARY 2016|123456700000264|Sport|Sport|4
FEBRUARY 2016|123456700000265|News & Media|Science|19
FEBRUARY 2016|123456700000265|Books & Literature|Book Retailers|77
FEBRUARY 2016|123456700000265|Arts & Entertainment|TV & Video|52
FEBRUARY 2016|123456700000265|Finance|Banking|69
FEBRUARY 2016|123456700000265|News & Media|Science|64
FEBRUARY 2016|123456700000266|Arts & Entertainment|TV & Video|12
FEBRUARY 2016|123456700000266|Sport|Soccer|35
FEBRUARY 2016|123456700000266|Finance|Banking|76
FEBRUARY 2016|123456700000266|Finance|Banking|93
FEBRUARY 2016|123456700000266|Sport|Rugby|0
FEBRUARY 2016|123456700000267|Internet & Telecom|Social Networking|73
FEBRUARY 2016|123456700000267|News & Media|News|94
FEBRUARY 2016|123456700000267|Internet & Telecom|Social Networking|98
FEBRUARY 2016|123456700000267|News & Media|Science|74
FEBRUARY 2016|123456700000267|News & Media|News|42
FEBRUARY 2016|123456700000268|News & Media|Magazines & E-Zines|25
FEBRUARY 2016|123456700000268|Gambling|Sports Gambling|62
FEBRUARY 2016|123456700000268|Sport|Sport|3
FEBRUARY 2016|123456700000268|Sport|Rugby|55
FEBRUARY 2016|123456700000268|Finance|Banking|54
FEBRUARY 2016|123456700000269|Sport|Golf|40
FEBRUARY 2016|123456700000269|Sport|Soccer|20
FEBRUARY 2016|123456700000269|News & Media|News|62
FEBRUARY 2016|123456700000269|Sport|Soccer|95
FEBRUARY 2016|123456700000269|News & Media|Science|11
FEBRUARY 2016|123456700000270|News & Media|News|30
FEBRUARY 2016|123456700000270|News & Media|Science|77
FEBRUARY 2016|123456700000270|Gambling|Sports Gambling|91
FEBRUARY 2016|123456700000270|Sport|Rugby|99
FEBRUARY 2016|123456700000270|Finance|Banking|54
FEBRUARY 2016|123456700000271|Finance|Banking|55
FEBRUARY 2016|123456700000271|News & Media|News|59
FEBRUARY 2016|123456700000271|Sport|Golf|56
FEBRUARY 2016|123456700000271|News & Media|News|62
FEBRUARY 2016|123456700000271|Internet & Telecom|Social Networking|72
FEBRUARY 2016|123456700000272|Sport|Sport|73
FEBRUARY 2016|123456700000272|Arts & Entertainment|TV & Video|14
FEBRUARY 2016|123456700000272|Finance|Banking|28
FEBRUARY 2016|123456700000272|News & Media|News|49
FEBRUARY 2016|123456700000272|Gambling|Sports Gambling|4
FEBRUARY 2016|123456700000273|Sport|Soccer|53
FEBRUARY 2016|123456700000273|Sport|Golf|95
FEBRUARY 2016|123456700000273|News & Media|Science|15
FEBRUARY 2016|123456700000273|Sport|Soccer|100
FEBRUARY 2016|123456700000273|Books & Literature|Book Retailers|4
FEBRUARY 2016|123456700000274|News & Media|Magazines & E-Zines|48
FEBRUARY 2016|123456700000274|Sport|Soccer|53
FEBRUARY 2016|123456700000274|Sport|Soccer|60
FEBRUARY 2016|123456700000274|News & Media|News|85
FEBRUARY 2016|123456700000274|Gambling|Sports Gambling|67
FEBRUARY 2016|123456700000275|Arts & Entertainment|TV & Video|9
FEBRUARY 2016|123456700000275|Sport|Golf|74
FEBRUARY 2016|123456700000275|Sport|Golf|7
FEBRUARY 2016|123456700000275|News & Media|Magazines & E-Zines|80
FEBRUARY 2016|123456700000275|News & Media|Magazines & E-Zines|68
FEBRUARY 2016|123456700000276|Sport|Sport|72
FEBRUARY 2016|123456700000276|Sport|Soccer|59
FEBRUARY 2016|123456700000276|Books & Literature|Book Retailers|58
FEBRUARY 2016|123456700000276|Sport|Soccer|88
FEBRUARY 2016|123456700000276|Sport|Golf|47
FEBRUARY 2016|123456700000277|News & Media|News|80
FEBRUARY 2016|123456700000277|News & Media|Magazines & E-Zines|60
FEBRUARY 2016|123456700000277|Gambling|Sports Gambling|65
FEBRUARY 2016|123456700000277|Internet & Telecom|Social Networking|10
FEBRUARY 2016|123456700000277|Sport|Sport|52
FEBRUARY 2016|123456700000278|News & Media|Science|24
FEBRUARY 2016|123456700000278|News & Media|News|81
FEBRUARY 2016|123456700000278|Internet & Telecom|Social Networking|25
FEBRUARY 2016|123456700000278|Finance|Banking|35
FEBRUARY 2016|123456700000278|Gambling|Sports Gambling|49
FEBRUARY 2016|123456700000279|Sport|Soccer|66
FEBRUARY 2016|123456700000279|News & Media|News|78
FEBRUARY 2016|123456700000279|Sport|Soccer|15
FEBRUARY 2016|123456700000279|News & Media|Magazines & E-Zines|7
FEBRUARY 2016|123456700000279|Arts & Entertainment|TV & Video|19
FEBRUARY 2016|123456700000280|News & Media|News|7
FEBRUARY 2016|123456700000280|Sport|Soccer|81
FEBRUARY 2016|123456700000280|Books & Literature|Book Retailers|0
FEBRUARY 2016|123456700000280|Gambling|Sports Gambling|54
FEBRUARY 2016|123456700000280|Sport|Golf|44
FEBRUARY 2016|123456700000281|News & Media|News|77
FEBRUARY 2016|123456700000281|Gambling|Sports Gambling|13
FEBRUARY 2016|123456700000281|Books & Literature|Book Retailers|20
FEBRUARY 2016|123456700000281|News & Media|Science|98
FEBRUARY 2016|123456700000281|Sport|Sport|28
FEBRUARY 2016|123456700000282|Finance|Banking|90
FEBRUARY 2016|123456700000282|Arts & Entertainment|TV & Video|45
FEBRUARY 2016|123456700000282|Sport|Soccer|75
FEBRUARY 2016|123456700000282|News & Media|Science|38
FEBRUARY 2016|123456700000282|Sport|Rugby|61
FEBRUARY 2016|123456700000283|Sport|Rugby|30
FEBRUARY 2016|123456700000283|Sport|Sport|33
FEBRUARY 2016|123456700000283|Finance|Banking|60
FEBRUARY 2016|123456700000283|Finance|Banking|69
FEBRUARY 2016|123456700000283|News & Media|Science|20
FEBRUARY 2016|123456700000284|Sport|Soccer|36
FEBRUARY 2016|123456700000284|Gambling|Sports Gambling|32
FEBRUARY 2016|123456700000284|Sport|Golf|75
FEBRUARY 2016|123456700000284|Finance|Banking|52
FEBRUARY 2016|123456700000284|Sport|Rugby|79
FEBRUARY 2016|123456700000285|Internet & Telecom|Social Networking|21
FEBRUARY 2016|123456700000285|News & Media|News|84
FEBRUARY 2016|123456700000285|Sport|Sport|26
FEBRUARY 2016|123456700000285|Internet & Telecom|Social Networking|90
FEBRUARY 2016|123456700000285|Sport|Golf|96
FEBRUARY 2016|123456700000286|Arts & Entertainment|TV & Video|99
FEBRUARY 2016|123456700000286|Books & Literature|Book Retailers|9
FEBRUARY 2016|123456700000286|Sport|Sport|98
FEBRUARY 2016|123456700000286|Internet & Telecom|Social Networking|30
FEBRUARY 2016|123456700000286|News & Media|Magazines & E-Zines|0
FEBRUARY 2016|123456700000287|News & Media|News|1
FEBRUARY 2016|123456700000287|Internet & Telecom|Social Networking|99
FEBRUARY 2016|123456700000287|Finance|Banking|59
FEBRUARY 2016|123456700000287|Books & Literature|Book Retailers|65
FEBRUARY 2016|123456700000287|Sport|Rugby|43
FEBRUARY 2016|123456700000288|Sport|Soccer|97
FEBRUARY 2016|123456700000288|Arts & Entertainment|TV & Video|96
FEBRUARY 2016|123456700000288|Finance|Banking|73
FEBRUARY 2016|123456700000288|Sport|Soccer|14
FEBRUARY 2016|123456700000288|Gambling|Sports Gambling|87
FEBRUARY 2016|123456700000289|Sport|Golf|28
FEBRUARY 2016|123456700000289|News & Media|Science|40
FEBRUARY 2016|123456700000289|Books & Literature|Book Retailers|74
FEBRUARY 2016|123456700000289|Sport|Sport|60
FEBRUARY 2016|123456700000289|News & Media|Science|52
FEBRUARY 2016|123456700000290|News & Media|Science|95
FEBRUARY 2016|123456700000290|News & Media|News|24
FEBRUARY 2016|123456700000290|Arts & Entertainment|TV & Video|100
FEBRUARY 2016|123456700000290|News & Media|Magazines & E-Zines|43
FEBRUARY 2016|123456700000290|Arts & Entertainment|TV & Video|18
FEBRUARY 2016|123456700000291|Internet & Telecom|Social Networking|44
FEBRUARY 2016|123456700000291|News & Media|News|61
FEBRUARY 2016|123456700000291|Internet & Telecom|Social Networking|81
FEBRUARY 2016|123456700000291|Sport|Rugby|88
FEBRUARY 2016|123456700000291|Arts & Entertainment|TV & Video|95
FEBRUARY 2016|123456700000292|Internet & Telecom|Social Networking|81
FEBRUARY 2016|123456700000292|News & Media|News|96
FEBRUARY 2016|123456700000292|News & Media|Magazines & E-Zines|66
FEBRUARY 2016|123456700000292|News & Media|Magazines & E-Zines|13
FEBRUARY 2016|123456700000292|News & Media|Science|39
FEBRUARY 2016|123456700000293|Sport|Rugby|9
FEBRUARY 2016|123456700000293|Sport|Sport|6
FEBRUARY 2016|123456700000293|Internet & Telecom|Social Networking|50
FEBRUARY 2016|123456700000293|News & Media|News|39
FEBRUARY 2016|123456700000293|News & Media|Science|91
FEBRUARY 2016|123456700000294|Sport|Golf|67
FEBRUARY 2016|123456700000294|Sport|Golf|45
FEBRUARY 2016|123456700000294|News & Media|Magazines & E-Zines|14
FEBRUARY 2016|123456700000294|Gambling|Sports Gambling|14
FEBRUARY 2016|123456700000294|Books & Literature|Book Retailers|75
FEBRUARY 2016|123456700000295|Sport|Sport|62
FEBRUARY 2016|123456700000295|News & Media|Magazines & E-Zines|45
FEBRUARY 2016|123456700000295|Finance|Banking|43
FEBRUARY 2016|123456700000295|News & Media|Magazines & E-Zines|38
FEBRUARY 2016|123456700000295|Gambling|Sports Gambling|19
FEBRUARY 2016|123456700000296|News & Media|Magazines & E-Zines|48
FEBRUARY 2016|123456700000296|News & Media|News|60
FEBRUARY 2016|123456700000296|Sport|Soccer|25
FEBRUARY 2016|123456700000296|News & Media|News|0
FEBRUARY 2016|123456700000296|Sport|Golf|32
FEBRUARY 2016|123456700000297|Books & Literature|Book Retailers|89
FEBRUARY 2016|123456700000297|Arts & Entertainment|TV & Video|5
FEBRUARY 2016|123456700000297|Sport|Golf|76
FEBRUARY 2016|123456700000297|News & Media|News|80
FEBRUARY 2016|123456700000297|Internet & Telecom|Social Networking|0
FEBRUARY 2016|123456700000298|Finance|Banking|55
FEBRUARY 2016|123456700000298|Sport|Soccer|79
FEBRUARY 2016|123456700000298|Sport|Sport|60
FEBRUARY 2016|123456700000298|Sport|Golf|7
FEBRUARY 2016|123456700000298|Books & Literature|Book Retailers|73
FEBRUARY 2016|123456700000299|Sport|Rugby|35
FEBRUARY 2016|123456700000299|Sport|Sport|11
FEBRUARY 2016|123456700000299|News & Media|Science|65
FEBRUARY 2016|123456700000299|Arts & Entertainment|TV & Video|52
FEBRUARY 2016|123456700000299|News & Media|Magazines & E-Zines|28
FEBRUARY 2016|123456700000300|News & Media|Science|31
FEBRUARY 2016|123456700000300|News & Media|Science|7
FEBRUARY 2016|123456700000300|Gambling|Sports Gambling|10
FEBRUARY 2016|123456700000300|Internet & Telecom|Social Networking|90
FEBRUARY 2016|123456700000300|Arts & Entertainment|TV & Video|91
FEBRUARY 2016|123456700000301|Arts & Entertainment|TV & Video|1
FEBRUARY 2016|123456700000301|Finance|Banking|33
FEBRUARY 2016|123456700000301|Sport|Soccer|15
FEBRUARY 2016|123456700000301|Finance|Banking|66
FEBRUARY 2016|123456700000301|Internet & Telecom|Social Networking|37
FEBRUARY 2016|123456700000302|News & Media|Science|96
FEBRUARY 2016|123456700000302|Arts & Entertainment|TV & Video|54
FEBRUARY 2016|123456700000302|Sport|Rugby|80
FEBRUARY 2016|123456700000302|Sport|Soccer|60
FEBRUARY 2016|123456700000302|Arts & Entertainment|TV & Video|15
FEBRUARY 2016|123456700000303|News & Media|Magazines & E-Zines|90
FEBRUARY 2016|123456700000303|News & Media|News|63
FEBRUARY 2016|123456700000303|News & Media|News|65
FEBRUARY 2016|123456700000303|News & Media|Science|50
FEBRUARY 2016|123456700000303|Gambling|Sports Gambling|89
FEBRUARY 2016|123456700000304|Gambling|Sports Gambling|71
FEBRUARY 2016|123456700000304|Sport|Sport|4
FEBRUARY 2016|123456700000304|Sport|Sport|62
FEBRUARY 2016|123456700000304|Sport|Rugby|34
FEBRUARY 2016|123456700000304|News & Media|Magazines & E-Zines|62
FEBRUARY 2016|123456700000305|Sport|Rugby|77
FEBRUARY 2016|123456700000305|Internet & Telecom|Social Networking|29
FEBRUARY 2016|123456700000305|News & Media|Science|17
FEBRUARY 2016|123456700000305|News & Media|Science|8
FEBRUARY 2016|123456700000305|Internet & Telecom|Social Networking|98
FEBRUARY 2016|123456700000306|Books & Literature|Book Retailers|55
FEBRUARY 2016|123456700000306|Books & Literature|Book Retailers|81
FEBRUARY 2016|123456700000306|Internet & Telecom|Social Networking|3
FEBRUARY 2016|123456700000306|Sport|Golf|46
FEBRUARY 2016|123456700000306|Sport|Soccer|88
FEBRUARY 2016|123456700000307|Gambling|Sports Gambling|7
FEBRUARY 2016|123456700000307|Books & Literature|Book Retailers|13
FEBRUARY 2016|123456700000307|News & Media|Magazines & E-Zines|30
FEBRUARY 2016|123456700000307|Sport|Rugby|27
FEBRUARY 2016|123456700000307|News & Media|Magazines & E-Zines|31
FEBRUARY 2016|123456700000308|News & Media|News|5
FEBRUARY 2016|123456700000308|Sport|Rugby|78
FEBRUARY 2016|123456700000308|Sport|Sport|61
FEBRUARY 2016|123456700000308|Sport|Golf|33
FEBRUARY 2016|123456700000308|News & Media|News|100
FEBRUARY 2016|123456700000309|News & Media|News|38
FEBRUARY 2016|123456700000309|News & Media|Magazines & E-Zines|57
FEBRUARY 2016|123456700000309|Sport|Golf|52
FEBRUARY 2016|123456700000309|Sport|Soccer|31
FEBRUARY 2016|123456700000309|News & Media|News|52
FEBRUARY 2016|123456700000310|Internet & Telecom|Social Networking|100
FEBRUARY 2016|123456700000310|Arts & Entertainment|TV & Video|63
FEBRUARY 2016|123456700000310|News & Media|Magazines & E-Zines|10
FEBRUARY 2016|123456700000310|Sport|Sport|87
FEBRUARY 2016|123456700000310|Sport|Golf|8
FEBRUARY 2016|123456700000311|Books & Literature|Book Retailers|38
FEBRUARY 2016|123456700000311|Gambling|Sports Gambling|12
FEBRUARY 2016|123456700000311|Sport|Golf|60
FEBRUARY 2016|123456700000311|Sport|Soccer|60
FEBRUARY 2016|123456700000311|Arts & Entertainment|TV & Video|2
FEBRUARY 2016|123456700000312|Sport|Sport|60
FEBRUARY 2016|123456700000312|Sport|Sport|42
FEBRUARY 2016|123456700000312|Sport|Golf|67
FEBRUARY 2016|123456700000312|Sport|Rugby|65
FEBRUARY 2016|123456700000312|Sport|Golf|19
FEBRUARY 2016|123456700000313|Gambling|Sports Gambling|34
FEBRUARY 2016|123456700000313|Sport|Golf|40
FEBRUARY 2016|123456700000313|Sport|Sport|94
FEBRUARY 2016|123456700000313|Books & Literature|Book Retailers|62
FEBRUARY 2016|123456700000313|Finance|Banking|76
FEBRUARY 2016|123456700000314|Books & Literature|Book Retailers|35
FEBRUARY 2016|123456700000314|Sport|Rugby|91
FEBRUARY 2016|123456700000314|News & Media|Magazines & E-Zines|48
FEBRUARY 2016|123456700000314|Gambling|Sports Gambling|36
FEBRUARY 2016|123456700000314|Finance|Banking|64
FEBRUARY 2016|123456700000315|Sport|Soccer|88
FEBRUARY 2016|123456700000315|Gambling|Sports Gambling|42
FEBRUARY 2016|123456700000315|Arts & Entertainment|TV & Video|7
FEBRUARY 2016|123456700000315|Gambling|Sports Gambling|4
FEBRUARY 2016|123456700000315|Sport|Golf|62
FEBRUARY 2016|123456700000316|Sport|Soccer|37
FEBRUARY 2016|123456700000316|News & Media|Magazines & E-Zines|75
FEBRUARY 2016|123456700000316|Internet & Telecom|Social Networking|82
FEBRUARY 2016|123456700000316|Books & Literature|Book Retailers|60
FEBRUARY 2016|123456700000316|Gambling|Sports Gambling|57
FEBRUARY 2016|123456700000317|Gambling|Sports Gambling|41
FEBRUARY 2016|123456700000317|Finance|Banking|34
FEBRUARY 2016|123456700000317|News & Media|News|79
FEBRUARY 2016|123456700000317|Books & Literature|Book Retailers|3
FEBRUARY 2016|123456700000317|News & Media|Magazines & E-Zines|44
FEBRUARY 2016|123456700000318|Arts & Entertainment|TV & Video|38
FEBRUARY 2016|123456700000318|Arts & Entertainment|TV & Video|68
FEBRUARY 2016|123456700000318|Sport|Rugby|96
FEBRUARY 2016|123456700000318|Finance|Banking|28
FEBRUARY 2016|123456700000318|Sport|Golf|66
FEBRUARY 2016|123456700000319|Arts & Entertainment|TV & Video|18
FEBRUARY 2016|123456700000319|Internet & Telecom|Social Networking|21
FEBRUARY 2016|123456700000319|News & Media|News|97
FEBRUARY 2016|123456700000319|Finance|Banking|15
FEBRUARY 2016|123456700000319|Books & Literature|Book Retailers|83
FEBRUARY 2016|123456700000320|News & Media|Science|8
FEBRUARY 2016|123456700000320|Books & Literature|Book Retailers|55
FEBRUARY 2016|123456700000320|Sport|Golf|53
FEBRUARY 2016|123456700000320|Sport|Sport|85
FEBRUARY 2016|123456700000320|Finance|Banking|56
FEBRUARY 2016|123456700000321|News & Media|Magazines & E-Zines|42
FEBRUARY 2016|123456700000321|Sport|Rugby|95
FEBRUARY 2016|123456700000321|Books & Literature|Book Retailers|49
FEBRUARY 2016|123456700000321|Sport|Soccer|58
FEBRUARY 2016|123456700000321|Sport|Golf|49
FEBRUARY 2016|123456700000322|Sport|Soccer|96
FEBRUARY 2016|123456700000322|Books & Literature|Book Retailers|60
FEBRUARY 2016|123456700000322|Sport|Golf|8
FEBRUARY 2016|123456700000322|News & Media|News|70
FEBRUARY 2016|123456700000322|Sport|Rugby|51
FEBRUARY 2016|123456700000323|Sport|Rugby|62
FEBRUARY 2016|123456700000323|News & Media|News|60
FEBRUARY 2016|123456700000323|News & Media|News|13
FEBRUARY 2016|123456700000323|News & Media|Magazines & E-Zines|24
FEBRUARY 2016|123456700000323|Gambling|Sports Gambling|24
FEBRUARY 2016|123456700000324|Sport|Golf|1
FEBRUARY 2016|123456700000324|Sport|Soccer|62
FEBRUARY 2016|123456700000324|Books & Literature|Book Retailers|64
FEBRUARY 2016|123456700000324|Sport|Soccer|10
FEBRUARY 2016|123456700000324|Gambling|Sports Gambling|1
FEBRUARY 2016|123456700000325|News & Media|News|49
FEBRUARY 2016|123456700000325|Sport|Golf|4
FEBRUARY 2016|123456700000325|News & Media|Science|73
FEBRUARY 2016|123456700000325|Sport|Rugby|86
FEBRUARY 2016|123456700000325|Sport|Golf|16
FEBRUARY 2016|123456700000326|Sport|Sport|56
FEBRUARY 2016|123456700000326|Sport|Rugby|26
FEBRUARY 2016|123456700000326|Sport|Sport|81
FEBRUARY 2016|123456700000326|Books & Literature|Book Retailers|44
FEBRUARY 2016|123456700000326|Finance|Banking|77
FEBRUARY 2016|123456700000327|Books & Literature|Book Retailers|52
FEBRUARY 2016|123456700000327|Sport|Rugby|30
FEBRUARY 2016|123456700000327|Gambling|Sports Gambling|57
FEBRUARY 2016|123456700000327|Internet & Telecom|Social Networking|86
FEBRUARY 2016|123456700000327|Finance|Banking|47
FEBRUARY 2016|123456700000328|Finance|Banking|96
FEBRUARY 2016|123456700000328|News & Media|News|21
FEBRUARY 2016|123456700000328|Arts & Entertainment|TV & Video|15
FEBRUARY 2016|123456700000328|News & Media|Magazines & E-Zines|46
FEBRUARY 2016|123456700000328|Sport|Sport|1
FEBRUARY 2016|123456700000329|Finance|Banking|91
FEBRUARY 2016|123456700000329|Sport|Soccer|49
FEBRUARY 2016|123456700000329|News & Media|Science|54
FEBRUARY 2016|123456700000329|Finance|Banking|75
FEBRUARY 2016|123456700000329|Finance|Banking|7
FEBRUARY 2016|123456700000330|News & Media|News|61
FEBRUARY 2016|123456700000330|Sport|Sport|80
FEBRUARY 2016|123456700000330|News & Media|News|70
FEBRUARY 2016|123456700000330|News & Media|News|10
FEBRUARY 2016|123456700000330|Gambling|Sports Gambling|31
FEBRUARY 2016|123456700000331|Finance|Banking|69
FEBRUARY 2016|123456700000331|Arts & Entertainment|TV & Video|81
FEBRUARY 2016|123456700000331|Books & Literature|Book Retailers|83
FEBRUARY 2016|123456700000331|News & Media|News|88
FEBRUARY 2016|123456700000331|News & Media|News|53
FEBRUARY 2016|123456700000332|News & Media|Science|53
FEBRUARY 2016|123456700000332|Sport|Soccer|47
FEBRUARY 2016|123456700000332|News & Media|Science|44
FEBRUARY 2016|123456700000332|Internet & Telecom|Social Networking|82
FEBRUARY 2016|123456700000332|Books & Literature|Book Retailers|74
FEBRUARY 2016|123456700000333|Sport|Rugby|11
FEBRUARY 2016|123456700000333|Arts & Entertainment|TV & Video|40
FEBRUARY 2016|123456700000333|News & Media|Magazines & E-Zines|40
FEBRUARY 2016|123456700000333|News & Media|Magazines & E-Zines|36
FEBRUARY 2016|123456700000333|Sport|Golf|41
FEBRUARY 2016|123456700000334|Sport|Sport|6
FEBRUARY 2016|123456700000334|Sport|Golf|17
FEBRUARY 2016|123456700000334|Internet & Telecom|Social Networking|33
FEBRUARY 2016|123456700000334|Sport|Soccer|30
FEBRUARY 2016|123456700000334|News & Media|News|78
FEBRUARY 2016|123456700000335|Gambling|Sports Gambling|1
FEBRUARY 2016|123456700000335|Internet & Telecom|Social Networking|18
FEBRUARY 2016|123456700000335|Sport|Rugby|86
FEBRUARY 2016|123456700000335|Internet & Telecom|Social Networking|78
FEBRUARY 2016|123456700000335|Finance|Banking|75
FEBRUARY 2016|123456700000336|Arts & Entertainment|TV & Video|15
FEBRUARY 2016|123456700000336|Sport|Sport|47
FEBRUARY 2016|123456700000336|Gambling|Sports Gambling|34
FEBRUARY 2016|123456700000336|News & Media|Science|25
FEBRUARY 2016|123456700000336|Books & Literature|Book Retailers|15
FEBRUARY 2016|123456700000337|Books & Literature|Book Retailers|44
FEBRUARY 2016|123456700000337|Arts & Entertainment|TV & Video|99
FEBRUARY 2016|123456700000337|Sport|Soccer|59
FEBRUARY 2016|123456700000337|News & Media|Magazines & E-Zines|56
FEBRUARY 2016|123456700000337|Sport|Soccer|15
FEBRUARY 2016|123456700000338|Books & Literature|Book Retailers|83
FEBRUARY 2016|123456700000338|Books & Literature|Book Retailers|44
FEBRUARY 2016|123456700000338|News & Media|News|96
FEBRUARY 2016|123456700000338|Gambling|Sports Gambling|56
FEBRUARY 2016|123456700000338|Arts & Entertainment|TV & Video|15
FEBRUARY 2016|123456700000339|News & Media|News|34
FEBRUARY 2016|123456700000339|Gambling|Sports Gambling|71
FEBRUARY 2016|123456700000339|Books & Literature|Book Retailers|93
FEBRUARY 2016|123456700000339|Finance|Banking|4
FEBRUARY 2016|123456700000339|Arts & Entertainment|TV & Video|0
FEBRUARY 2016|123456700000340|News & Media|Magazines & E-Zines|94
FEBRUARY 2016|123456700000340|Sport|Rugby|99
FEBRUARY 2016|123456700000340|Sport|Rugby|39
FEBRUARY 2016|123456700000340|Sport|Rugby|55
FEBRUARY 2016|123456700000340|Arts & Entertainment|TV & Video|60
FEBRUARY 2016|123456700000341|Internet & Telecom|Social Networking|24
FEBRUARY 2016|123456700000341|Arts & Entertainment|TV & Video|88
FEBRUARY 2016|123456700000341|Sport|Soccer|0
FEBRUARY 2016|123456700000341|Sport|Sport|43
FEBRUARY 2016|123456700000341|Finance|Banking|1
FEBRUARY 2016|123456700000342|Sport|Golf|84
FEBRUARY 2016|123456700000342|News & Media|News|65
FEBRUARY 2016|123456700000342|News & Media|Magazines & E-Zines|56
FEBRUARY 2016|123456700000342|Sport|Soccer|26
FEBRUARY 2016|123456700000342|News & Media|Magazines & E-Zines|42
FEBRUARY 2016|123456700000343|Sport|Golf|85
FEBRUARY 2016|123456700000343|Internet & Telecom|Social Networking|26
FEBRUARY 2016|123456700000343|News & Media|Magazines & E-Zines|57
FEBRUARY 2016|123456700000343|Sport|Soccer|62
FEBRUARY 2016|123456700000343|News & Media|News|87
FEBRUARY 2016|123456700000344|Sport|Sport|85
FEBRUARY 2016|123456700000344|Sport|Soccer|54
FEBRUARY 2016|123456700000344|Internet & Telecom|Social Networking|77
FEBRUARY 2016|123456700000344|Sport|Soccer|82
FEBRUARY 2016|123456700000344|Sport|Soccer|88
FEBRUARY 2016|123456700000345|Sport|Rugby|19
FEBRUARY 2016|123456700000345|Internet & Telecom|Social Networking|15
FEBRUARY 2016|123456700000345|Gambling|Sports Gambling|18
FEBRUARY 2016|123456700000345|Sport|Golf|2
FEBRUARY 2016|123456700000345|Sport|Golf|3
FEBRUARY 2016|123456700000346|Finance|Banking|48
FEBRUARY 2016|123456700000346|News & Media|News|82
FEBRUARY 2016|123456700000346|Finance|Banking|94
FEBRUARY 2016|123456700000346|Finance|Banking|30
FEBRUARY 2016|123456700000346|Internet & Telecom|Social Networking|26
FEBRUARY 2016|123456700000347|Finance|Banking|96
FEBRUARY 2016|123456700000347|Sport|Rugby|23
FEBRUARY 2016|123456700000347|Sport|Golf|47
FEBRUARY 2016|123456700000347|Sport|Golf|92
FEBRUARY 2016|123456700000347|Sport|Sport|58
FEBRUARY 2016|123456700000348|News & Media|Science|86
FEBRUARY 2016|123456700000348|News & Media|Magazines & E-Zines|37
FEBRUARY 2016|123456700000348|News & Media|Magazines & E-Zines|25
FEBRUARY 2016|123456700000348|Sport|Golf|98
FEBRUARY 2016|123456700000348|Internet & Telecom|Social Networking|65
FEBRUARY 2016|123456700000349|Books & Literature|Book Retailers|4
FEBRUARY 2016|123456700000349|News & Media|Science|56
FEBRUARY 2016|123456700000349|Arts & Entertainment|TV & Video|62
FEBRUARY 2016|123456700000349|Sport|Soccer|22
FEBRUARY 2016|123456700000349|Sport|Rugby|37
FEBRUARY 2016|123456700000350|News & Media|Science|44
FEBRUARY 2016|123456700000350|Sport|Golf|93
FEBRUARY 2016|123456700000350|News & Media|Magazines & E-Zines|97
FEBRUARY 2016|123456700000350|Gambling|Sports Gambling|68
FEBRUARY 2016|123456700000350|Internet & Telecom|Social Networking|35
FEBRUARY 2016|123456700000351|Sport|Sport|47
FEBRUARY 2016|123456700000351|Books & Literature|Book Retailers|36
FEBRUARY 2016|123456700000351|News & Media|Science|39
FEBRUARY 2016|123456700000351|Books & Literature|Book Retailers|20
FEBRUARY 2016|123456700000351|Sport|Golf|83
FEBRUARY 2016|123456700000352|News & Media|Magazines & E-Zines|54
FEBRUARY 2016|123456700000352|Gambling|Sports Gambling|11
FEBRUARY 2016|123456700000352|News & Media|News|6
FEBRUARY 2016|123456700000352|Sport|Golf|58
FEBRUARY 2016|123456700000352|Sport|Golf|6
FEBRUARY 2016|123456700000353|Sport|Soccer|70
FEBRUARY 2016|123456700000353|Books & Literature|Book Retailers|93
FEBRUARY 2016|123456700000353|News & Media|News|80
FEBRUARY 2016|123456700000353|Books & Literature|Book Retailers|2
FEBRUARY 2016|123456700000353|Sport|Golf|27
FEBRUARY 2016|123456700000354|News & Media|News|61
FEBRUARY 2016|123456700000354|Finance|Banking|0
FEBRUARY 2016|123456700000354|Gambling|Sports Gambling|13
FEBRUARY 2016|123456700000354|News & Media|Magazines & E-Zines|24
FEBRUARY 2016|123456700000354|Sport|Soccer|66
FEBRUARY 2016|123456700000355|News & Media|Magazines & E-Zines|43
FEBRUARY 2016|123456700000355|Books & Literature|Book Retailers|67
FEBRUARY 2016|123456700000355|Gambling|Sports Gambling|74
FEBRUARY 2016|123456700000355|Finance|Banking|14
FEBRUARY 2016|123456700000355|Sport|Sport|2
FEBRUARY 2016|123456700000356|Sport|Sport|27
FEBRUARY 2016|123456700000356|Sport|Golf|47
FEBRUARY 2016|123456700000356|News & Media|Magazines & E-Zines|57
FEBRUARY 2016|123456700000356|Arts & Entertainment|TV & Video|74
FEBRUARY 2016|123456700000356|Sport|Rugby|63
FEBRUARY 2016|123456700000357|Sport|Rugby|70
FEBRUARY 2016|123456700000357|News & Media|News|37
FEBRUARY 2016|123456700000357|Finance|Banking|38
FEBRUARY 2016|123456700000357|Books & Literature|Book Retailers|52
FEBRUARY 2016|123456700000357|Arts & Entertainment|TV & Video|43
FEBRUARY 2016|123456700000358|Sport|Soccer|40
FEBRUARY 2016|123456700000358|Internet & Telecom|Social Networking|30
